id,total_len,nb_groups,len_groups,max_len_group
Sport-Saller,166,15,"[9, 9, 21, 10, 15, 16, 10, 18, 10, 16, 10, 4, 4, 10, 4]",21
Spitzke SE,247,37,"[12, 10, 11, 13, 5, 12, 5, 9, 8, 8, 4, 4, 4, 3, 4, 8, 5, 5, 5, 4, 8, 8, 8, 7, 5, 10, 10, 10, 7, 5, 5, 5, 4, 4, 4, 4, 4]",13
SMBC Nikko Securities,250,30,"[5, 5, 6, 30, 13, 5, 5, 14, 12, 26, 6, 5, 6, 5, 5, 14, 3, 5, 6, 6, 5, 5, 3, 5, 6, 5, 5, 5, 10, 19]",30
Steinecke,51,3,"[17, 14, 20]",20
SUSS MicroTec,163,18,"[9, 5, 13, 13, 13, 5, 10, 14, 9, 9, 7, 9, 9, 10, 5, 4, 6, 13]",14
Tata Steel Europe,165,9,"[13, 16, 18, 16, 18, 26, 14, 18, 26]",26
Surteco SE,246,32,"[16, 10, 12, 3, 8, 4, 4, 16, 8, 9, 9, 10, 7, 4, 8, 4, 4, 4, 4, 6, 6, 5, 5, 6, 13, 11, 8, 10, 9, 13, 6, 4]",16
Tengelmann Group,43,3,"[13, 15, 15]",15
Tedox,79,9,"[9, 15, 7, 6, 6, 6, 10, 13, 7]",15
Taunus-Therme,226,32,"[6, 7, 7, 6, 6, 7, 6, 7, 7, 7, 5, 5, 7, 7, 6, 5, 5, 5, 7, 6, 7, 5, 5, 7, 6, 8, 14, 5, 12, 13, 14, 6]",14
Trepel Airport Equipment,440,45,"[7, 9, 5, 5, 4, 10, 9, 4, 4, 13, 4, 4, 4, 4, 31, 31, 31, 31, 31, 31, 31, 4, 9, 4, 9, 4, 6, 4, 9, 6, 7, 4, 9, 6, 7, 4, 4, 4, 4, 4, 3, 3, 13, 5, 5]",31
Trans-o-flex,208,17,"[19, 10, 18, 14, 20, 12, 5, 11, 18, 22, 5, 6, 13, 10, 10, 4, 11]",22
TRIMET Aluminium SE,93,8,"[5, 15, 15, 11, 24, 12, 5, 6]",24
Triuva,131,7,"[13, 24, 24, 10, 16, 22, 22]",24
