filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_03_2,17,5.1041636,-12.221988,5.036699,2.863121,3.4913647,-0.9934493,-0.64989835,-1.200954,1.3676043,-0.9268105,-0.6502233,0.42805198,-0.40973136,0.19151364,-0.026648639,0,1.0,1.0,236,116,4,250,187,0,0.05880517319094363,0.05894109580676687
L_7sins_03_2,19,9.828625,-9.193142,3.183945,1.0492523,3.0219607,-0.48461726,-1.1477337,-0.8423769,0.73482656,-0.2894022,-0.33585823,0.019710824,-0.09114319,0.04533719,-0.28507084,0,1.0,1.0,236,116,4,250,187,0,0.04790055823307093,0.05400582716462416
L_7sins_03_2,18,13.018151,-6.412457,5.6346607,3.54299,4.333971,-2.0120175,0.20467146,-1.0025572,1.2573763,-1.4762852,-0.70832616,0.5179827,-0.70704585,0.67195964,0.5364777,0,1.0,1.0,236,116,4,250,187,0,0.0551009557225391,0.0582577056584839
L_7sins_03_2,20,14.545319,-7.0117164,4.3280435,5.2078657,4.125274,-2.37344,0.48317108,-1.0335332,1.2557925,-1.220701,-0.5771354,0.16594015,-0.8644017,0.6532437,0.56798494,0,1.0,1.0,236,116,4,250,187,0,0.06994939547742206,0.0646740883633379
L_7sins_03_2,2,-1.6582681,-7.424658,6.3570347,-0.019532917,0.6774846,2.9877665,-2.1887705,-1.9896948,-1.8066882,-2.1803818,-0.7002448,0.08088059,0.6733878,-0.4696542,-1.1080225,0,1.0,1.0,197,0,123,250,187,0,0.10711042571701539,0.21221752889186257
L_7sins_03_2,21,15.727192,-8.384872,0.70497346,5.602121,4.0851197,-2.6286764,0.6700905,-0.67613626,0.59915537,-1.2272215,-1.1739484,0.37311128,-0.90564847,-0.024216479,1.1455263,0,1.0,1.0,236,116,4,250,187,0,0.05400216712728507,0.054860252898072635
L_7sins_03_2,23,13.20408,-1.7327089,2.1225388,-1.1801974,1.6666588,-0.5774723,-0.6700231,0.37969303,-0.5519287,0.033060472,-0.011041333,-0.18238923,-0.13408217,0.14773308,-0.1235518,0,1.0,1.0,236,116,4,250,187,0,0.04003781284440165,0.05116627253885705
L_7sins_03_2,4,6.705547,-0.44930443,4.8123693,-3.0223053,0.5495775,0.9032608,-1.1473211,0.96744597,-2.715529,-0.70974743,-0.050402276,-0.8917785,-0.07256269,-0.10924079,-0.20220277,0,1.0,1.0,197,0,123,250,187,0,0.03323710273280249,0.2127523529268867
L_7sins_03_2,5,7.781618,-6.624659,7.435297,2.7695835,1.5695909,1.8260889,-1.5398849,-2.4194283,-0.4877723,-1.4339958,0.14264417,-0.27943972,1.243946,-0.5431185,-1.7895752,0,1.0,1.0,197,0,123,250,187,0,0.11370964945737008,0.21160414314192896
L_7sins_03_2,7,-4.2083592,-11.344714,1.2779795,-1.2600396,1.6632969,1.2958379,0.5787523,0.8893307,-0.2431147,0.1092886,1.2559785,0.054911803,0.1600845,-0.14791623,0.023560448,0,1.0,1.0,236,116,4,250,187,0,0.05355331428913167,0.05075867855299253
